Dataset,Model,Stereotype,N_GRAM,dev_maf1,test_acc,test_bacc,test_maf1,test_bmaf1,mark,BatchNo
News,TextRCNN,Noun,1,0.689088677493411,0.7658713250958671,0.7611844908393695,0.7648768528668809,0.7554939562232416,2,40,0
SCIERC,TextCNN,Normal,1,0.2551950682954542,0.6248256624825662,0.6290097629009763,0.4620810085450178,0.4612336007492125,25,40,0
Economy,TextCNN,Normal,1,0.5653947249161606,0.7734899328859061,0.7734899328859061,0.5562712668273341,0.5791642912061761,21,40,0
Amazon,TextCNN,Noun,1,0.7115697220454653,0.6916666666666667,0.7033333333333334,0.6912884950731313,0.7026858491826644,23,40,0
SCIERC,TextCNN,Normal,1,0.2511403653196689,0.6220362622036262,0.6220362622036262,0.4227054835060097,0.4191172723551689,26,40,0
Amazon,TextCNN,Noun,1,0.7325726510964521,0.7,0.7133333333333334,0.6987918205245486,0.7119217499078818,24,40,0
Economy,TextCNN,Normal,1,0.5643082155090647,0.7449664429530202,0.7399328859060402,0.5793071421937401,0.6042242358031832,22,40,0
SCIERC,TextCNN,Normal,1,0.2583517122589566,0.5690376569037657,0.603905160390516,0.44953882180819127,0.45555806280375216,27,40,0
Amazon,TextCNN,Noun,1,0.7199222006112809,0.7133333333333334,0.7133333333333334,0.713218620781646,0.713177174239308,25,40,0
Economy,TextCNN,Normal,1,0.5387365380003457,0.7600671140939598,0.7550335570469798,0.5820005394933666,0.5842363778835311,23,40,0
SCIERC,TextCNN,Normal,1,0.25414483485266365,0.6150627615062761,0.6304044630404463,0.4419106724412775,0.4325682430702334,28,40,0
Amazon,TextCNN,Noun,1,0.7329743321576787,0.72,0.7116666666666667,0.7192012836512747,0.7104432895650792,26,40,0
Economy,TextCNN,Normal,1,0.5320916481892091,0.7734899328859061,0.7734899328859061,0.560306244569405,0.5718732540506026,24,40,0
SCIERC,TextCNN,Normal,1,0.25935259947430345,0.6164574616457462,0.6248256624825662,0.4579544514915125,0.4498005312698235,29,40,0
Amazon,TextCNN,Noun,1,0.6977296135417133,0.7266666666666667,0.7266666666666667,0.7266545179785767,0.7266545179785767,27,40,0
Economy,TextCNN,Normal,1,0.5348177183738165,0.7600671140939598,0.7466442953020134,0.5851582159875783,0.5863679191083535,25,40,0
SCIERC,TextCNN,Normal,1,0.2565840792232093,0.5857740585774058,0.6052998605299861,0.44575392588201046,0.4254747171768002,30,40,0
Amazon,TextCNN,Noun,1,0.7146504467973267,0.705,0.72,0.7049926248156204,0.7200000000000001,28,40,0
SCIERC,TextCNN,Normal,1,0.24346294374243674,0.6150627615062761,0.6150627615062761,0.40767721146541847,0.40767721146541847,31,40,0
Economy,TextCNN,Normal,1,0.5470588235294117,0.7684563758389261,0.7701342281879194,0.5400411596277738,0.5537922630074703,26,40,0
Amazon,TextCNN,Noun,1,0.71997199719972,0.7033333333333334,0.7083333333333334,0.7026858491826645,0.7077415098908624,29,40,0
SCIERC,TextCNN,Normal,1,0.2578495866505634,0.6150627615062761,0.6150627615062761,0.438950535179466,0.438950535179466,32,40,0
Economy,TextCNN,Normal,1,0.4992987377279102,0.7734899328859061,0.7734899328859061,0.5479140328697851,0.5479140328697851,27,40,0
Amazon,TextCNN,Noun,1,0.6885965407137459,0.73,0.7333333333333333,0.7294920461755965,0.7332592386774104,30,40,0
SCIERC,TextCNN,Normal,1,0.23694417424268172,0.6108786610878661,0.6304044630404463,0.43090870604348985,0.43915135661485566,33,40,0
News,TextRCNN,Noun,1,0.7025996716981637,0.7658713250958671,0.764167021729868,0.7583687259603317,0.756670570332721,3,40,0
Economy,TextCNN,Normal,1,0.5461640798226164,0.7936241610738255,0.790268456375839,0.580115813529907,0.5928761523790788,28,40,0
