DatasetName,BaseModel,Stereotype,Epoch,TestAcc,TestBAcc,TestmaF1,TestBmaF1,DevmaF1,TestDevmaF1,FactualKeywordFairness,CounterfactualKeywordFairness,Batch,NGRAM
Parties,TextRCNN,Normal,2,0.5462226640159046,0.5760437375745527,0.5355497521060681,0.47936920115700055,0.3130761351997269,0.47255742184514254,17.742856480742827,13.816470223359087,1,1
Amazon,TextRCNN,RandomMask,7,0.7283333333333334,0.7283333333333334,0.7276061931990675,0.7276061931990675,0.7141352591589558,0.7316156736446592,16.265547007405136,16.265547007405136,1,1
Amazon,TextRCNN,Noun,7,0.7266666666666667,0.73,0.7264721579790072,0.7298529199230692,0.7105660135348032,0.7426011766803353,16.224042443790637,16.224619263217765,1,1
Amazon,TextRCNN,Normal,7,0.7316666666666667,0.735,0.7313973178659712,0.7348342714196373,0.7209216826027256,0.7307504703504981,16.199908718984542,16.237375095683188,1,1
Economy,TextRCNN,Idiom,2,0.7802013422818792,0.7919463087248322,0.6016835446266867,0.44194756554307113,0.548617469327962,0.44183864915572235,21.576155433880274,18.679637067532294,1,1
Parties,TextRCNN,Keyword,2,0.55168986083499,0.5805168986083499,0.5514554026813459,0.5026756260308891,0.3130761351997269,0.5020009115279785,17.037910068976814,13.75399785212016,1,2
Economy,TextRCNN,RandomMask,7,0.8070469798657718,0.8070469798657718,0.614889731703891,0.5870860468338645,0.5785578440722583,0.5659591490963856,19.963236073486154,19.665961748105445,1,1
Economy,TextRCNN,Normal,7,0.8070469798657718,0.8070469798657718,0.578202406227884,0.5735838491927707,0.5378640776699029,0.5340699588731109,20.291933326788726,20.196521178471922,1,1
Economy,TextRCNN,Noun,7,0.8003355704697986,0.8003355704697986,0.6014945919370698,0.5271953975481144,0.5553157894736842,0.5170103943243689,20.556791206721755,19.544816454578495,1,1
Amazon,TextRCNN,Keyword,7,0.7233333333333334,0.7266666666666667,0.7231826216495647,0.7265572895824997,0.7106821824263118,0.7374398996585604,16.241575503804373,16.245948184559655,1,2
